OBJECTID,SAP_NAME,SAP_PLANT_NO,SAP_PLANT_NAME,SAP_KM_NAME,SAP_CANAL_ID,SAP_FUNC_LOC,FL_DESC,Shape__Length,GlobalID
1604,Kennet & Avon Canal - 034,9800,Kennet and Avon,KA Length 034,KA,KA-034,KA Kennet & Avon Canal - 034,0.01408235,e52fb7b5-209d-4b98-a039-e9febafb3c9d
1605,Kennet & Avon Canal - 035,9800,Kennet and Avon,KA Length 035,KA,KA-035,KA Kennet & Avon Canal - 035,0.013839969,5bad8f44-7f87-4bb1-9a04-ce6fdf240afc
1606,Kennet & Avon Canal - 036,9800,Kennet and Avon,KA Length 036,KA,KA-036,KA Kennet & Avon Canal - 036,0.014000304,974ce091-3e0f-4ba6-9949-915d0aefb1f1
1607,Kennet & Avon Canal - 037,9800,Kennet and Avon,KA Length 037,KA,KA-037,KA Kennet & Avon Canal - 037,0.014172789,d2c58217-2bc5-440e-a250-5bd430225cd7
1608,Kennet & Avon Canal - 033,9800,Kennet and Avon,KA Length 033,KA,KA-033,KA Kennet & Avon Canal - 033,0.01385973,d457274f-bc19-49c3-9e04-e045ad49d39c
1609,Kennet & Avon Canal - 028,9800,Kennet and Avon,KA Length 028,KA,KA-028,KA Kennet & Avon Canal - 028,0.01326099,d77f21e3-9fa8-46c5-bda9-93a28bf393cb
1821,Kennet & Avon Canal - 096,9800,Kennet and Avon,KA Length 096,KA,KA-096,KA Kennet & Avon Canal - 096,0.014435242,52801388-a07d-405d-a4a9-02ceb8119515
1822,Kennet & Avon Canal - 098,9800,Kennet and Avon,KA Length 098,KA,KA-098,KA Kennet & Avon Canal - 098,0.01396236,3d8bace2-25ad-4b7a-b000-58e5ba23c1e5
1823,Kennet & Avon Canal - 099,9800,Kennet and Avon,KA Length 099,KA,KA-099,KA Kennet & Avon Canal - 099,0.0142525,83d80f86-9edf-4866-82bf-1640c6d2b6b9
1824,Kennet & Avon Canal - 100,9800,Kennet and Avon,KA Length 100,KA,KA-100,KA Kennet & Avon Canal - 100,0.014036088,f2a21154-8346-4e32-ba58-f2658e267a65
1825,Kennet & Avon Canal - 097,9800,Kennet and Avon,KA Length 097,KA,KA-097,KA Kennet & Avon Canal - 097,0.014015177,7d5e378e-66d7-49d4-8d7a-49038f2dd633
1826,Kennet & Avon Canal - 101,9800,Kennet and Avon,KA Length 101,KA,KA-101,KA Kennet & Avon Canal - 101,0.012903736,e3b03183-ac90-4e58-8b55-6f68efdff6d6
1827,Kennet & Avon Canal - 090,9800,Kennet and Avon,KA Length 090,KA,KA-090,KA Kennet & Avon Canal - 090,0.014017423,612db2df-9698-426e-b005-fbaab8a65382
1828,Kennet & Avon Canal - 091,9800,Kennet and Avon,KA Length 091,KA,KA-091,KA Kennet & Avon Canal - 091,0.013979977,03d2592e-a35e-4aa4-898b-c6d576ed0067
1829,Kennet & Avon Canal - 092,9800,Kennet and Avon,KA Length 092,KA,KA-092,KA Kennet & Avon Canal - 092,0.014175754,e1bcff87-1f29-4346-beed-f7d6fd561a09
