Section,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
"Lock 15, Semington Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 16, Harris Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,
103,0,1,1,1,0,1,0,0,1,1,2,0,0,2,1,2,1,1,1,0,1,3,0,1,2,2,1,1,0,1,1,0,
104,0,0,1,1,1,0,0,0,0,1,1,1,1,1,2,1,1,1,2,1,3,2,2,2,1,2,1,1,2,1,1,2,
105,0,1,1,2,2,2,0,0,0,0,1,3,3,1,0,1,2,3,2,5,2,2,3,2,2,0,2,2,2,1,2,2,
106,0,0,1,1,2,2,1,1,0,0,1,1,2,2,0,0,2,2,4,4,4,3,1,3,1,2,1,2,2,3,2,2,
"Lock 14, Bradford On Avon Lock",1,1,1,1,2,3,2,1,1,1,0,1,0,2,2,1,0,3,5,3,5,2,2,1,2,3,2,3,3,2,2,1,
107,0,1,1,1,1,2,3,2,2,1,0,0,1,0,2,2,2,2,2,4,1,4,3,1,1,3,4,2,2,3,1,4,
108,0,0,1,1,1,1,2,3,2,1,1,0,0,1,0,3,4,1,2,0,3,2,3,3,2,2,3,2,2,1,5,1,
109,0,0,0,1,1,1,1,2,2,2,1,1,0,0,3,2,2,4,0,1,1,2,2,3,4,2,0,2,2,4,1,4,
110,0,0,0,0,1,1,1,1,2,2,2,1,1,2,2,2,2,1,3,1,0,1,2,2,3,2,2,1,3,2,2,1,
111,0,0,0,0,0,1,1,1,1,2,2,2,3,3,1,2,2,0,2,2,1,0,1,2,0,2,1,3,0,1,1,4,
112,0,0,0,0,0,0,1,1,1,1,2,3,3,1,3,1,0,2,0,2,2,1,0,0,1,0,2,0,1,0,3,1,
113,0,0,0,0,0,0,0,1,1,1,2,3,1,2,1,1,1,1,1,1,2,2,1,0,0,2,0,1,1,3,1,1,
114,0,0,1,0,1,0,1,1,0,3,2,1,3,2,0,3,1,1,1,1,2,3,2,0,2,0,2,1,4,1,1,0,
115,0,0,0,1,0,1,0,0,2,0,2,1,1,1,3,1,1,1,1,1,1,2,1,4,0,1,1,4,1,3,0,4,
116,0,0,0,0,1,0,1,0,0,2,0,2,1,2,1,1,0,2,2,0,1,0,3,1,3,1,3,1,2,0,5,1,
117,0,0,0,0,0,1,0,1,0,1,2,1,2,0,1,1,2,2,1,2,0,3,0,2,2,4,1,1,0,5,1,2,
118,1,0,1,0,0,0,2,1,2,1,1,3,0,1,1,3,4,2,2,1,2,0,1,2,2,1,3,0,6,2,2,0,
119,0,1,0,1,0,0,0,2,1,2,1,0,3,0,1,3,3,2,2,2,1,0,1,1,1,1,0,5,1,3,1,2,
120,0,0,1,0,1,0,0,0,2,1,1,1,0,3,2,1,2,2,3,3,1,3,1,0,2,1,4,3,1,0,3,6,
121,0,1,0,2,1,1,1,1,1,2,2,2,2,2,4,1,1,2,3,3,4,3,0,3,1,3,5,2,0,2,5,3,
"Lock 7, Bath Bottom Lock",0,0,1,0,2,1,1,1,0,1,2,2,4,2,1,3,0,2,1,3,4,1,5,1,2,3,1,2,4,4,3,2,
"Lock 8/9, Bath Deep Lock",0,0,0,1,0,2,1,0,1,0,1,3,2,2,1,0,4,0,1,1,1,5,2,4,2,1,0,3,6,3,2,1,
"Lock 10, Wash House Lock",0,0,0,0,1,0,2,1,0,0,2,0,2,2,1,1,0,2,1,0,2,2,3,3,3,0,3,3,2,3,2,1,
"Lock 11, Horse Shoe Bridge Lock",0,0,0,0,0,1,0,2,1,1,0,1,0,2,2,1,0,0,2,2,1,0,3,2,1,4,4,1,2,0,3,3,
"Lock 12, Pulteney Gardens Lock",0,0,0,0,0,0,1,0,2,1,0,0,1,0,2,2,1,0,2,2,0,2,0,2,4,3,3,2,0,1,1,3,
"Lock 13, Bath Top Lock",0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,2,3,0,0,3,1,0,2,3,2,2,2,1,2,0,0,
122,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,3,2,1,1,1,1,2,2,0,2,1,2,2,0,0,2,
123,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,3,1,0,2,2,0,1,0,2,1,0,1,2,0,
124,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,2,1,0,1,0,1,0,1,0,2,1,0,
125,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,3,0,1,0,1,0,0,0,1,0,0,1,
"Lock 6, Weston Lock",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,
126,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 5, Kelston Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 4, Saltford Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 3, Swineford Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 2, Keynsham Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 1, Hanham Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,1,1,1,2,2,3,3,3,3,3,2,3,4,3,4,4,4,4,5,5,5,5,5,4,4,4,5,5,6,5,5,6,6
