Section,Bridges,Aqueducts,Pumps,Turning Points,Tunnels,Boat Hires,Marina,Lock Status,Lockage,Latitude,Longitude
21,2,0,0,1,0,0,,0,0,51.39432982,-1.166397232
"Lock 93, Heales Lock",0,0,0,0,0,0,,1,0,51.39493341,-1.180050464
22,1,0,0,1,0,0,,0,0,51.395353348650758,-1.180175326564974
"Lock 92, Midgham Lock",0,0,0,0,0,0,,1,0,51.39323486,-1.194424459
23,6,0,0,0,0,0,,0,0,51.393311209419153,-1.193851166161026
"Lock 91, Colthrop Lock",0,0,0,0,0,0,,1,0,51.39288012,-1.210322317
24,2,0,0,0,0,0,,0,0,51.39281423006689,-1.210044079793258
25,3,0,0,1,0,0,,0,0,51.39339233,-1.223908676
"Lock 90, Monkey Marsh Lock",0,0,0,0,0,0,,1,0,51.393656142474505,-1.226686861634954
26,0,0,0,0,0,0,,0,0,51.39361185,-1.237707294
"Lock 89, Widmead Lock",0,0,0,0,0,0,,1,0,51.39256853,-1.249269102
27,3,0,0,1,0,0,,0,0,51.392615468428296,-1.247894558357016
"Lock 88, Bulls Lock",0,0,0,0,0,0,,1,0,51.39294031,-1.259624698
28,4,0,0,0,0,0,,0,0,51.393265151820053,-1.27135483814619
29,3,0,0,1,0,200,,0,0,51.39601752,-1.28209783
"Lock 87, Ham Lock",0,0,0,0,0,0,,1,0,51.397149978052781,-1.285133278822394
"Lock 86, Greenham Lock",0,0,0,0,0,0,,1,0,51.39994128,-1.292598806
30,7,0,0,1,0,200,,0,0,51.40265073,-1.306437973
"Lock 85, Newbury Lock",0,0,0,0,0,0,,1,0,51.402200230828363,-1.301137094392387
31,2,0,0,1,0,0,,0,0,51.403029550839996,-1.312256275689193
32,1,0,0,0,0,0,,0,0,51.40192653,-1.319670638
"Lock 84, Guyers Lock",0,0,0,0,0,0,,1,0,51.401490334819442,-1.325290370524353
33,2,0,0,0,0,0,,0,0,51.40107856,-1.329344199
"Lock 83, Higgs Lock",0,0,0,0,0,0,,1,0,51.39945495,-1.347129255
34,2,0,0,0,0,0,,0,0,51.39941364054156,-1.347423367921676
"Lock 82, Benham Lock",0,0,0,0,0,0,,1,0,51.39763571,-1.358419651
35,1,0,0,0,0,0,,0,0,51.398035779142276,-1.357841020677158
"Lock 81, Hamstead Lock",0,0,0,0,0,0,,1,0,51.39720125,-1.37468065
36,1,0,0,1,0,0,,0,0,51.396399364051092,-1.369984744928562
"Lock 80, Copse Lock",0,0,0,0,0,0,,1,0,51.40087126,-1.392446073
37,2,0,0,1,0,0,,0,0,51.400872137751819,-1.39276989227269
"Lock 79, Dreweatts Lock",0,0,0,0,0,0,,1,0,51.40088479,-1.398768158
38,1,0,0,0,0,0,,0,0,51.400841618411093,-1.401805658541786
39,2,0,0,0,0,100,,0,0,51.40282744,-1.41145106
"Lock 78, Kintbury Lock",0,0,0,0,0,0,,1,0,51.416830839875999,-1.517832363370919
40,3,0,0,1,0,0,,0,0,51.402832858331195,-1.411592814342033
41,2,0,0,0,0,0,,0,0,51.414857181948079,-1.532293548815872
"Lock 77, Brunsden Lock",0,0,0,0,0,0,,1,0,51.4020931,-1.428510279
42,1,1,0,1,0,0,,0,0,51.40217561,-1.444656298
"Lock 76, Wire Lock",0,0,0,0,0,0,,1,0,51.402114786165612,-1.446881657041595
43,1,0,0,1,0,0,,0,0,51.4019869,-1.4538514
"Lock 75, Dunmill Lock",0,0,0,0,0,0,,1,0,51.40731243,-1.470584572
44,2,0,0,1,0,100,,0,0,51.405907240758317,-1.467544154539652
45,1,0,0,0,0,0,,0,0,51.41026972,-1.47906429
"Lock 74, Hungerford Lock",0,0,0,0,0,0,,1,0,51.410418938667874,-1.479944682876263
46,2,1,0,0,0,0,,0,0,51.41171267,-1.496473591
"Lock 72, Cobblers Lock",0,0,0,0,0,0,,1,0,51.41170307768418,-1.496024932500524
"Lock 73, Hungerford Marsh Lock",0,0,0,0,0,0,,1,0,51.41623343,-1.512888073
47,2,0,0,0,0,0,,0,0,51.4163752,-1.521926537
"Lock 71, Picketsfield",0,0,0,0,0,0,,1,0,51.41428762,-1.537260925
48,1,0,0,1,0,0,,0,0,51.41407403412709,-1.539284087439904
"Lock 70, Froxfield Bottom Lock",0,0,0,0,0,0,,1,0,51.41194203,-1.543902688
49,1,1,0,0,0,0,,0,0,51.411001326992093,-1.548164056194298
"Lock 68, Oakhill Down Lock",0,0,0,0,0,0,,1,0,51.40822834,-1.562552619
"Lock 69, Froxfield Top Lock",0,0,0,0,0,0,,1,0,51.407424017983544,-1.565490215218733
50,3,0,0,1,0,0,,0,0,51.40354524,-1.569874515
"Lock 67, Little Bedwyn Lock",0,0,0,0,0,0,,1,0,51.402595382366833,-1.57097033640551
51,0,0,0,0,0,0,,0,0,51.404962282112677,-1.568535515709994
"Lock 66, Potters Lock",0,0,0,0,0,0,,1,0,51.39424637,-1.580374838
52,1,0,0,0,0,100,,0,0,51.39201464862073,-1.583658500804539
"Lock 65, Burnt Mill Lock",0,0,0,0,0,0,,1,0,51.38981193,-1.585229121
