X,Y,OBJECTID,SAP_FUNC_LOC,SAP_DESCRIPTION,SAP_INVENTORY_NUMBER,SAP_OBJECT_TYPE,Angle,FL_DESC,GlobalID
-2.145492473941794,51.348181054600282,2926,KA-097-004,Bridge 159 (Footbridge),KA-09736,046,281.02948975,KA-097-004 Bridge 159 (Footbridge),f9f97eac-f77e-4383-84ca-8a7aaf2a9646
-2.45904785899847,51.41673313882734,2927,KA-133-001,"Bridge 211, Bitton Railway Bridge",KA-13343,129,248.97653435,"KA-133-001 Bridge 211, Bitton Railway Bridge",9b2501f2-03d3-4eea-91ba-5b6374104af0
-2.491234103064707,51.419136741479981,2928,KA-136-007,Bridge 214 (A4175),KA-13628,003,323.1826754,KA-136-007 Bridge 214 (A4175),3026af92-546e-4af8-9407-732eb0827365
-1.224928637638352,51.393664690938387,2935,KA-023-005,"Bridge 40, Colthrop Bailey Bridge", ,077,269.53657938,"KA-023-005 Bridge 40, Colthrop Bailey Bridge",b04a8fd8-1154-4b35-a2f2-141575a34e4f
-0.977941172962856,51.435087634980569,2960,KA-003-006,"Bridge 8A, A33 Road Bridge, Reading", ,003,245.55823958,"KA-003-006 Bridge 8A, A33 Road Bridge, Reading",2d26876c-f8bb-4573-8aca-cd0d8e891b45
-1.304546536865535,51.402297353767565,2961,KA-029-002,"Bridge 52, Bone Mill Sluices Footbridge",KA-02959,046,288.65960485,"KA-029-002 Bridge 52, Bone Mill Sluices Footbridge",79b3c016-3f45-475e-8d5a-9ab1da8fffd5
-2.010575591974627,51.352748608216402,2962,KA-087-021,"Bridge 142A, Prison Bridge Footbridge", ,046,262.03587334,"KA-087-021 Bridge 142A, Prison Bridge Footbridge",6742adcc-9f45-4e4b-b488-71efb3124678
-2.460566611004929,51.416772190587842,2963,KA-133-003,"Bridge 211A, Ferris Bridge", ,046,269.59121306,"KA-133-003 Bridge 211A, Ferris Bridge",fe252433-2d7a-4564-b528-bd84e908a1e6
-1.074844144069965,51.425982325548176,3046,KA-011-001,"Bridge 20, Sulhamstead Footbridge",KA-01163,004,322.10536016,"KA-011-001 Bridge 20, Sulhamstead Footbridge",63d833f3-f5f7-45c5-b12e-f8be1a2bf6bc
-2.483818845465885,51.421184060550978,3155,KA-135-004,"Pipe Bridge, Broad Mead", ,077,234.84367432,"KA-135-004 Pipe Bridge, Broad Mead",f2c8be0c-a831-48a6-8be1-6c429923b303
-1.23187401974969,51.393888515958388,3156,KA-024-007,"Pipe Bridge, Thatcham", ,077,275.79499403,"KA-024-007 Pipe Bridge, Thatcham",25d72f6d-b4ee-4ba8-8aff-fb0f91e7fec0
-2.37950159053374,51.384590894448174,3157,KA-123-015,"Pipe Bridge, Gas Works", ,077,267.3829896,"KA-123-015 Pipe Bridge, Gas Works",88b76943-0bcf-45b6-ae0d-2b5a4019a17e
-1.802898212791019,51.349668836602767,3915,KA-069-003,"Bridge 118, Wilcot Swingbridge", ,117,250.36019039,"KA-069-003 Bridge 118, Wilcot Swingbridge",9bdf589d-8fd4-410c-a059-ca9ceb0fb09b
-1.827077249012085,51.345444771984901,3916,KA-071-002,Bridge 121 (Abutments Only), ,117,264.73567521,KA-071-002 Bridge 121 (Abutments Only),ec3424cf-3315-4158-a721-4e89267b77a2
-2.125333660026919,51.346823810764242,3917,KA-096-002,"Bridge 157, Melksham Park (Removed)", ,117,267.26584128,"KA-096-002 Bridge 157, Melksham Park (Removed)",babf2ec7-2c9a-40d7-be12-c2d6ad4076a3
-2.187387641326823,51.344031163386298,3918,KA-100-004,Bridge 164 (Removed), ,117,256.88671841,KA-100-004 Bridge 164 (Removed),fefce0cd-f04e-464e-99c0-b005814d6c4a
-1.225179426604428,51.393660410821198,3919,KA-023-006,"Abutments Bridge 40, Colthrop Old Swingb", ,117,269.53657938,"KA-023-006 Abutments Bridge 40, Colthrop Old Swingb",269da80b-ab31-4677-82d3-74dc3e93e493
