Section,Bridges,Aqueducts,Pumps,Turning Points,Tunnels,Boat Hires,Hire names,Marina,Marina names,Attractions,Supermarket
75,1,0,0,0,0,0,,,,,
76,1,0,0,0,0,0,,,,,
77,2,0,0,0,0,0,,,,,
78,1,0,0,1,0,0,,,,,
79,1,0,0,0,0,0,,,,,
80,1,0,0,0,0,0,,,,,
81,1,0,0,0,0,0,,,,,
82,1,0,0,1,0,0,,,,,
83,1,0,0,0,0,0,,,,,
84,0,0,0,1,0,0,,107,Devizes Marina Village,,
85,2,0,0,0,0,0,,,,,
86,3,0,0,1,0,4,White Horse Boats,,,Kennet and Avon Canal Museum,
87,3,0,0,0,0,0,,,,,
"Lock 47, Manifold Lock",0,0,0,0,0,0,,,,,
"Lock 48, Trust Lock",0,0,0,0,0,0,,,,,
"Lock 49, Maton Lock",0,0,0,0,0,0,,,,,
"Lock 50, Kennet Lock (Top Lock)",0,0,0,0,0,0,,,,,
88,1,0,0,0,0,0,,,,,
"Lock 36, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 37, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 38, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 39, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 40, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 41, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 42, Monument Lock",0,0,0,0,0,0,,,,,
"Lock 43, Queen Elizabeth Lock",0,0,0,0,0,0,,,,,
"Lock 44, Sir Hugh Stockwell",0,0,0,0,0,0,,,,,
"Lock 45, Cave Lock",0,0,0,0,0,0,,,,,
"Lock 46, A P Herbert Lock",0,0,0,0,0,0,,,,,
89,1,0,0,0,0,0,,,,,
"Lock 31, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 32, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 29, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 30, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 33, Lloyds Lock",0,0,0,0,0,0,,,,,
"Lock 34, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 28, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 35, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 27, Marsh Lane Lock",0,0,0,0,0,0,,,,,
"Lock 26, Devizes Lock",0,0,0,0,0,0,,,,,
90,4,0,1,0,0,18,Foxhangers Canal holidays,250,Caen Hill Marina,,
"Lock 25, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 24, Devizes Lock",0,0,0,0,0,0,,,,,
"Lock 23, Foxhangers Lock",0,0,0,0,0,0,,,,,
"Lock 22, Lower Foxhangers Lock",0,0,0,0,0,0,,,,,
91,2,1,0,0,0,0,,,,,
92,2,0,0,0,0,0,,,,,
93,2,0,0,0,0,0,,,,,
"Lock 20, Seend Lock",0,0,0,0,0,0,,,,,
"Lock 21, Seend Lock",0,0,0,0,0,0,,,,,
94,2,0,1,0,0,0,,,,,
Lock 19. Seend Lock,0,0,0,0,0,0,,,,,
"Lock 18, Seend Lock",0,0,0,0,0,0,,,,,
"Lock 17, Seend Bottom Lock",0,0,0,0,0,0,,,,,
95,1,0,0,0,0,0,,,,,
96,3,0,0,0,0,0,,,,,
97,2,1,1,0,0,0,,,,,
"Lock 15, Semington Lock",0,0,0,0,0,0,,,,,
"Lock 16, Harris Lock",0,0,0,0,0,0,,,,,
98,1,1,0,0,0,0,,,,,
99,2,0,0,1,0,0,,,,,
100,1,0,0,0,0,0,,,,,
101,2,0,0,0,0,26,"Nuthatch, Canal boat holidays.net",,,,
102,3,2,0,0,0,13,Hilperton Marina (ABC boat hire),60,Hilperton Marina,,
103,1,0,0,0,0,0,,,,,
104,0,0,0,1,0,20,Sally Narrowboats,,,,
105,2,0,0,0,0,0,,,,,
106,1,0,1,0,0,9,"Black Prince Holidays Ltd, Wiltshire Narrowboats",,,,
"Lock 14, Bradford On Avon Lock",0,0,0,0,0,0,,,,,
107,2,0,0,0,0,0,,,,,
108,0,2,0,0,0,0,,,,,
109,1,0,0,0,0,0,,,,,
110,0,0,0,0,0,0,,,,,
111,1,0,0,0,0,0,,,,,
112,0,2,0,1,0,0,,,,,
113,3,0,0,0,0,7,Anglo Welsh (Bath),,,,
114,1,0,0,0,0,0,,,,,
115,1,0,2,1,0,0,,,,,
116,0,0,0,0,0,0,,,,,
117,2,0,0,2,0,4,"Bloomsbury Canal Boats Ltd, Bath Narrowboats, Hunky dory days",,,,
118,1,0,0,0,0,0,,,,,
119,1,0,0,0,0,0,,,,,
120,3,0,0,1,2,4,"Bath Canal Boat Company, Anglo Welsh",4,Bath Narrowboats,,
121,8,0,2,1,0,0,,,,,
"Lock 7, Bath Bottom Lock",0,0,0,0,0,0,,,,,
"Lock 8/9, Bath Deep Lock",0,0,0,0,0,0,,,,,
"Lock 10, Wash House Lock",0,0,0,0,0,0,,,,,
"Lock 11, Horse Shoe Bridge Lock",0,0,0,0,0,0,,,,,
"Lock 12, Pulteney Gardens Lock",0,0,0,0,0,0,,,,,
"Lock 13, Bath Top Lock",0,0,0,0,0,0,,,,,
122,4,0,0,0,0,0,,,,,
123,4,0,0,0,0,0,,,,,
124,3,0,0,0,0,0,,,,,
125,1,0,0,0,0,0,,,,,
"Lock 6, Weston Lock",0,0,0,0,0,0,,,,,
126,2,0,0,0,0,0,,50,Bath Marina,,
127,1,0,0,0,0,0,,,,,
128,0,0,0,0,0,0,,,,,
129,0,0,0,0,0,0,,85,Saltford Marina,,
"Lock 5, Kelston Lock",0,0,0,0,0,0,,,,,
130,1,0,0,0,0,0,,,,,
131,0,0,0,0,0,0,,,,,
"Lock 4, Saltford Lock",0,0,0,0,0,0,,,,,
132,0,0,0,0,0,0,,,,,
"Lock 3, Swineford Lock",0,0,0,0,0,0,,,,,
133,2,0,0,0,0,0,,,,,
134,0,0,0,0,0,0,,,,,
135,1,0,0,0,0,0,,,,,
136,3,0,0,0,0,0,,,,,
"Lock 2, Keynsham Lock",0,0,0,0,0,0,,,,,
137,1,0,0,0,0,0,,,,,
138,0,0,0,0,0,0,,,,,
139,0,0,0,0,0,0,,,,,
"Lock 1, Hanham Lock",0,0,0,0,0,0,,,,,
