Section,Bridges,Aqueducts,Pumps,next turning back,Turning Points,next turning forward,Tunnels,Lock Status,Lockage,Latitude,Longitude,Boat Hires,Marina,Hire names,Marina names
79,1,0,0,1,0,3,0,0,0,51.36359683,-1.921817644,0,,,
78,1,0,0,5,1,4,0,0,0,51.36099284,-1.911085606,0,,,
77,2,0,0,4,0,1,0,0,0,51.36182392,-1.900095048,0,,,
76,1,0,0,3,0,2,0,0,0,51.35954602,-1.89076411,0,,,
75,1,0,0,2,0,3,0,0,0,51.3571239,-1.872117616,0,,,
74,1,0,0,1,0,4,0,0,0,51.35326091,-1.867149036,0,,,
73,2,0,0,8,1,5,0,0,0,51.35175781,-1.848286941,10,16,"Moonraker Canalboats, Honeystreet Boats",Gibson's Boat Services
72,2,0,0,7,0,1,0,0,0,51.34626481,-1.841335612,0,,,
71,1,0,0,6,0,2,0,0,0,51.34544477,-1.827077249,0,,,
70,1,0,0,5,0,3,0,0,0,51.34432286,-1.816115303,0,17,,Chasing Duck Moorings
69,3,0,0,4,0,4,0,0,0,51.34960974,-1.803153415,0,,,
68,2,0,0,3,0,5,0,0,0,51.35207591,-1.788984364,0,,,
67,1,0,0,2,0,6,0,0,0,51.34877593,-1.775324573,0,,,
66,1,0,0,1,0,7,0,0,0,51.34942859,-1.765139159,0,,,
65,1,0,0,5,1,8,0,0,0,51.3545415,-1.747952648,0,,,
64,1,0,0,4,0,1,0,0,0,51.35772432,-1.737061248,0,,,
63,1,0,0,3,0,2,0,0,0,51.3611277,-1.723172361,0,,,
"Lock 52, Heathy Close Lock",0,0,0,2,0,3,0,1,0,51.3673882,-1.711385086,0,,,
"Lock 51, Wootton Rivers",0,0,0,1,0,4,0,1,0,51.3652028,-1.716186709,0,,,
62,3,0,1,8,1,5,0,0,0,51.36477187,-1.71646879,0,,,
"Lock 54, Cadley Lock",0,0,0,7,0,1,0,1,0,51.36960222,-1.696770117,0,,,
"Lock 53, Brimslade Lock 53",0,0,0,6,0,2,0,1,0,51.36948519,-1.700246266,0,,,
61,2,0,0,5,0,3,0,0,0,51.36953188,-1.698838121,0,,,
60,0,0,0,4,0,4,0,0,0,51.36978948,-1.68897849,0,,,
59,1,0,0,3,0,5,0,0,0,51.37004707,-1.679118858,0,,,
58,0,0,0,2,0,6,1,0,0,51.3645552,-1.661641663,0,,,
"Lock 55, Crofton Top Lock",0,0,0,1,0,7,0,1,0,51.35906333,-1.644164467,0,,,
57,2,0,0,11,1,8,0,0,0,51.35968362,-1.646214846,0,,,
"Lock 56, Crofton Lock",0,0,0,10,0,1,0,1,0,51.35883583,-1.640280117,0,,,
"Lock 57, Crofton Lock",0,0,0,9,0,2,0,1,0,51.35835154,-1.635801835,0,,,
"Lock 58, Crofton Lock",0,0,0,8,0,3,0,1,0,51.35757421,-1.631517961,0,,,
56,1,0,0,7,0,4,0,0,0,51.36062369,-1.622144314,0,,,
"Lock 60, Crofton Lock",0,0,0,6,0,5,0,1,0,51.35951082,-1.623887024,0,,,
"Lock 59, Crofton Lock",0,0,0,5,0,6,0,1,0,51.36733181,-1.611340472,0,,,
"Lock 61, Crossing Lock",0,0,0,4,0,7,0,1,0,51.36477748,-1.615598886,0,,,
55,1,0,2,3,0,8,0,0,0,51.36679156,-1.612384476,0,,,
"Lock 63, Beech Grove Lock",0,0,0,2,0,9,0,1,0,51.37555521,-1.601740845,0,,,
"Lock 62, Longmans Cottage",0,0,0,1,0,10,0,1,0,51.37366371,-1.603352328,0,,,
54,2,0,0,8,1,11,0,0,0,51.382378,-1.594224733,0,,,
"Lock 64, Church Lock",0,0,0,7,0,1,0,1,0,51.37852755,-1.598612338,0,,,
53,2,0,0,6,0,2,0,0,0,51.3876092,-1.586799741,0,,,
"Lock 65, Burnt Mill Lock",0,0,0,5,0,3,0,1,0,51.38981193,-1.585229121,0,,,
