Long,Lat,OBJECTID,SAP_FUNC_LOC,SAP_DESCRIPTION,SAP_INVENTORY_NUMBER,SAP_OBJECT_TYPE,ANGLE,FL_DESC,GlobalID
-2.028417415,51.35218597,1353,KA-089-003,"Lock 33, Lloyds Lock",KA-08892,10,177,"KA-089-003 Lock 33, Lloyds Lock",72cb54fa-8e49-4ffc-8355-cfaeceb387ca
-2.031275123,51.35210676,1354,KA-089-008,"Lock 30, Devizes Lock",KA-08910,10,178,"KA-089-008 Lock 30, Devizes Lock",6f7f0b7e-f1da-48da-a40d-a9058c47a0c9
-2.032202834,51.35207661,1355,KA-089-009,"Lock 29, Devizes Lock",KA-08916,10,178,"KA-089-009 Lock 29, Devizes Lock",8bb48b14-d91a-4d0b-9c9b-67e084278c1b
-2.029349066,51.35215944,1356,KA-089-004,"Lock 32, Devizes Lock",KA-08898,10,178,"KA-089-004 Lock 32, Devizes Lock",f26d1c9e-f0d3-4397-9a4b-27ec45ce5621
-2.030351862,51.35213678,1357,KA-089-006,"Lock 31, Devizes Lock",KA-08904,10,176,"KA-089-006 Lock 31, Devizes Lock",4822abe9-c565-4d98-83bb-98942b32e3c1
-2.050433299,51.35423972,1358,KA-090-006,"Lock 22, Lower Foxhangers Lock",KA-09047,10,167,"KA-090-006 Lock 22, Lower Foxhangers Lock",c5531154-a0fe-463b-b2be-2e01155d2c4a
-2.04639141,51.35391827,1359,KA-090-004,"Lock 23, Foxhangers Lock",KA-09018,10,199,"KA-090-004 Lock 23, Foxhangers Lock",d771ef4e-7c93-4f4a-92b8-1194978e1d78
-2.043673203,51.35336361,1360,KA-090-002,"Lock 24, Devizes Lock",KA-08998,10,198,"KA-090-002 Lock 24, Devizes Lock",87d2147d-1f6c-482f-add9-f99e769b74fd
-2.041964526,51.35306732,1361,KA-090-001,"Lock 25, Devizes Lock",KA-08995,10,196,"KA-090-001 Lock 25, Devizes Lock",d1655f36-8b11-4213-98a4-abe71235ea6e
-2.091580751,51.35230687,1362,KA-093-006,"Lock 21, Seend Lock",KA-09340,10,160,"KA-093-006 Lock 21, Seend Lock",906a807b-bb07-4875-b543-f2d307512783
-2.094584158,51.35167387,1363,KA-093-008,"Lock 20, Seend Lock",KA-09364,10,160,"KA-093-008 Lock 20, Seend Lock",257ea1fb-ff30-47be-b834-6e84e8e9e92c
-2.105831666,51.35180357,1364,KA-094-005,"Lock 17, Seend Bottom Lock",KA-09441,10,186,"KA-094-005 Lock 17, Seend Bottom Lock",85cabfb4-b445-4bbf-ad48-c41fd145d9fb
-2.100925675,51.35156669,1365,KA-094-003,"Lock 18, Seend Lock",KA-09407,10,184,"KA-094-003 Lock 18, Seend Lock",2b51f4c9-44db-43d6-8c37-5c7c129e29be
-2.097490569,51.3514161,1366,KA-094-001,Lock 19. Seend Lock,KA-09382,10,184,KA-094-001 Lock 19. Seend Lock,c98fb872-eb8f-485d-a109-4800d85627ac
-2.143829435,51.34797785,1367,KA-097-002,"Lock 15, Semington Lock",KA-09726,10,192,"KA-097-002 Lock 15, Semington Lock",34b3a45e-5231-4142-8623-39fbfc2b1472
-0.973639128,51.45114277,1382,KA-001-010,"Lock 106, County Lock",KA-00204A,10,305,"KA-001-010 Lock 106, County Lock",eda9b060-d136-426c-9518-dd893326695c
-0.98625942,51.43444552,1383,KA-004-002,"Lock 105, Fobney Lock",KA-00477,10,17,"KA-004-002 Lock 105, Fobney Lock",03504958-40e2-4af0-927c-e7e2e43618de
-1.004529499,51.43599079,1384,KA-005-004,"Lock 104, Southcote Lock",KA-00610,10,352,"KA-005-004 Lock 104, Southcote Lock",09040492-6ddb-4d00-b2d1-b42b209d15bf
-1.032383864,51.43318802,1385,KA-007-003,"Lock 103, Burghfield Lock",KA-00817,10,18,"KA-007-003 Lock 103, Burghfield Lock",7dc75506-efcb-48a6-bbb2-9040498da5c8
-1.058001176,51.43193016,1386,KA-009-002,"Lock 102, Garston Lock",KA-01016,10,340,"KA-009-002 Lock 102, Garston Lock",30d2d309-2ce8-44bb-8d3f-539d1ad63ad7
-1.068745227,51.43089692,1387,KA-010-001,"Lock 101, Sheffield Lock",KA-01094,10,335,"KA-010-001 Lock 101, Sheffield Lock",b53c430e-a4c2-4fa4-a34b-19e10e68e59c
-1.084869881,51.424673,1388,KA-011-002,"Lock 100, Sulhamstead Lock",KA-01230,10,333,"KA-011-002 Lock 100, Sulhamstead Lock",51577c63-83b4-48a3-abc6-2ff97908b021
-1.1005824,51.41853117,1389,KA-013-009,"Lock 99, Tyle Mill Lock",KA-01368,10,319,"KA-013-009 Lock 99, Tyle Mill Lock",570ddc63-3297-4dbc-97db-5b565b060624
-1.113289571,51.41335571,1390,KA-014-004,"Lock 98, Ufton Lock",KA-01475,38,336,"KA-014-004 Lock 98, Ufton Lock",18b53975-e6d2-4a94-8744-b30bd2583989
-1.517832363,51.41683084,1391,KA-045-003,"Lock 74, Hungerford Lock",KA-04561,10,8,"KA-045-003 Lock 74, Hungerford Lock",8e3b4e48-6fa7-428a-aec2-86082f970180
-1.532293549,51.41485718,1392,KA-046-001,"Lock 73, Hungerford Marsh Lock",KA-04639,10,355,"KA-046-001 Lock 73, Hungerford Marsh Lock",4371721d-85c1-4669-a9de-49df25b28a9b
-2.444681488,51.41817243,1393,KA-132-003,"Lock 3, Swineford Lock",KA-13233,10,194,"KA-132-003 Lock 3, Swineford Lock",3e808bb0-1ab2-4be0-b4aa-d749f780e299
-2.492017435,51.41972831,1394,KA-136-008,"Lock 2, Keynsham Lock",KA-13635,10,235,"KA-136-008 Lock 2, Keynsham Lock",03ce3208-f2c7-48c6-9ba4-93c199c984c0
-2.510166968,51.42853307,1395,KA-139-005,"Lock 1, Hanham Lock",KA-13941,10,223,"KA-139-005 Lock 1, Hanham Lock",57626d0d-7a7e-44e0-be4e-b91c5bd0520c
-1.124474124,51.40779455,1396,KA-015-002,"Lock 97, Towney Lock",KA-01579,10,279,"KA-015-002 Lock 97, Towney Lock",d7631c89-f47e-4ea0-b6c9-356a54f4552b
-1.130327518,51.4006881,1397,KA-016-001,"Lock 96, Padworth Middle Lock",KA-01684,10,353,"KA-016-001 Lock 96, Padworth Middle Lock",65f12a00-23e8-48e8-8ec9-6ad4f7eac7a2
-1.137448573,51.40019997,1398,KA-016-011,"Lock 95, Aldermaston Lock",KA-01734,10,353,"KA-016-011 Lock 95, Aldermaston Lock",b3d56be8-3a00-458e-b6a2-1e945deddbf1
-1.180175327,51.39535335,1399,KA-020-004,"Lock 94, Woolhampton Lock",KA-02072,10,14,"KA-020-004 Lock 94, Woolhampton Lock",98a7f647-6c4c-409e-a4ab-bc971d8b179f
-1.193851166,51.39331121,1400,KA-021-002,"Lock 93, Heales Lock",KA-02173,10,346,"KA-021-002 Lock 93, Heales Lock",2d4622b4-f0c7-4ced-87d9-b1b76d98f844
-1.21004408,51.39281423,1401,KA-022-002,"Lock 92, Midgham Lock",KA-02285,10,3,"KA-022-002 Lock 92, Midgham Lock",7e2468e5-afcb-4cb7-85d4-107176a92a04
-1.226686862,51.39365614,1402,KA-023-007,"Lock 91, Colthrop Lock",KA-02408,10,360,"KA-023-007 Lock 91, Colthrop Lock",0dc331e8-d2c7-44eb-beb6-7099ac5bb1e4
