Section,Bridges,Aqueducts,Pumps,Turning Points,Tunnels,Latitude,Longitude
29,3,0,0,1,0,51.40265073,-1.306437973
"Lock 87, Ham Lock",0,0,0,0,0,,
"Lock 86, Greenham Lock",0,0,0,0,0,,
30,7,0,0,1,0,51.40192653,-1.319670638
"Lock 85, Newbury Lock",0,0,0,0,0,,
31,2,0,0,1,0,51.40107856,-1.329344199
32,1,0,0,0,0,51.39945495,-1.347129255
"Lock 84, Guyers Lock",0,0,0,0,0,,
33,2,0,0,0,0,51.39763571,-1.358419651
"Lock 83, Higgs Lock",0,0,0,0,0,,
34,2,0,0,0,0,51.39720125,-1.37468065
"Lock 82, Benham Lock",0,0,0,0,0,,
35,1,0,0,0,0,51.40087126,-1.392446073
"Lock 81, Hamstead Lock",0,0,0,0,0,,
36,1,0,0,1,0,51.40088479,-1.398768158
"Lock 80, Copse Lock",0,0,0,0,0,,
37,2,0,0,1,0,51.40282744,-1.41145106
"Lock 79, Dreweatts Lock",0,0,0,0,0,,
38,1,0,0,0,0,51.4020931,-1.428510279
39,2,0,0,0,0,51.40217561,-1.444656298
"Lock 78, Kintbury Lock",0,0,0,0,0,,
40,3,0,0,1,0,51.4019869,-1.4538514
41,2,0,0,0,0,51.40731243,-1.470584572
"Lock 77, Brunsden Lock",0,0,0,0,0,,
42,1,1,0,1,0,51.41026972,-1.47906429
"Lock 76, Wire Lock",0,0,0,0,0,,
43,1,0,0,1,0,51.41171267,-1.496473591
"Lock 75, Dunmill Lock",0,0,0,0,0,,
44,2,0,0,1,0,51.41623343,-1.512888073
45,1,0,0,0,0,51.4163752,-1.521926537
"Lock 74, Hungerford Lock",0,0,0,0,0,,
46,2,1,0,0,0,51.41428762,-1.537260925
"Lock 72, Cobblers Lock",0,0,0,0,0,,
"Lock 73, Hungerford Marsh Lock",0,0,0,0,0,,
47,2,0,0,0,0,51.41194203,-1.543902688
"Lock 71, Picketsfield",0,0,0,0,0,,
48,1,0,0,1,0,51.40822834,-1.562552619
"Lock 70, Froxfield Bottom Lock",0,0,0,0,0,,
49,1,1,0,0,0,51.40354524,-1.569874515
"Lock 68, Oakhill Down Lock",0,0,0,0,0,,
"Lock 69, Froxfield Top Lock",0,0,0,0,0,,
50,3,0,0,1,0,51.39424637,-1.580374838
"Lock 67, Little Bedwyn Lock",0,0,0,0,0,,
51,0,0,0,0,0,,
"Lock 66, Potters Lock",0,0,0,0,0,,
52,1,0,0,0,0,51.37852755,-1.598612338
"Lock 65, Burnt Mill Lock",0,0,0,0,0,,
53,2,0,0,0,0,51.37366371,-1.603352328
"Lock 64, Church Lock",0,0,0,0,0,,
54,2,0,0,1,0,51.36679156,-1.612384476
"Lock 62, Longmans Cottage",0,0,0,0,0,,
"Lock 63, Beech Grove Lock",0,0,0,0,0,,
55,1,0,2,0,0,51.35951082,-1.623887024
"Lock 61, Crossing Lock",0,0,0,0,0,,
"Lock 59, Crofton Lock",0,0,0,0,0,,
"Lock 60, Crofton Lock",0,0,0,0,0,,
56,1,0,0,0,0,51.35757421,-1.631517961
"Lock 58, Crofton Lock",0,0,0,0,0,,
"Lock 57, Crofton Lock",0,0,0,0,0,,
"Lock 56, Crofton Lock",0,0,0,0,0,,
57,2,0,0,1,0,51.35968362,-1.646214846
"Lock 55, Crofton Top Lock",0,0,0,0,0,,
58,0,0,0,0,1,,
59,1,0,0,0,0,51.37004707,-1.679118858
60,0,0,0,0,0,,
61,2,0,0,0,0,51.36953188,-1.698838121
"Lock 53, Brimslade Lock 53",0,0,0,0,0,,
"Lock 54, Cadley Lock",0,0,0,0,0,,
62,3,0,1,1,0,51.36477187,-1.71646879
"Lock 51, Wootton Rivers",0,0,0,0,0,,
"Lock 52, Heathy Close Lock",0,0,0,0,0,,
63,1,0,0,0,0,51.3611277,-1.723172361
64,1,0,0,0,0,51.35772432,-1.737061248
65,1,0,0,1,0,51.3545415,-1.747952648
66,1,0,0,0,0,51.34942859,-1.765139159
67,1,0,0,0,0,51.34877593,-1.775324573
68,2,0,0,0,0,51.35207591,-1.788984364
69,3,0,0,0,0,51.34960974,-1.803153415
70,1,0,0,0,0,51.34432286,-1.816115303
71,1,0,0,0,0,51.34544477,-1.827077249
72,2,0,0,0,0,51.34626481,-1.841335612
73,2,0,0,1,0,51.35175781,-1.848286941
74,1,0,0,0,0,51.35326091,-1.867149036
75,1,0,0,0,0,51.3571239,-1.872117616
76,1,0,0,0,0,51.35954602,-1.89076411
