Section,Latitude degree,,,Longitude degree,,,Latitude,Longitude,next turning back,Turning Points,next turning forward,Lock Status,Lockage,Boat Hires,Marina,Hire names,Marina names
58,51,35,23,1,39,29,51.58972222,-1.658055556,1,1,1,0,0,16,61,,Bourton
59,51,35,42,1,38,46,51.595,-1.646111111,1,1,1,0,0,,,,
60,51,35,40,1,37,50,51.59444444,-1.630555556,1,1,1,0,0,,,,
61,51,36,2,1,37,15,51.60055556,-1.620833333,1,1,1,0,0,,,,
62,51,36,5,1,36,29,51.60138889,-1.608055556,1,1,1,0,0,,,,
Lock44,51,36,10,1,36,6,51.60277778,-1.601666667,1,1,1,1,0,,,,
Lock45,51,36,11,1,35,54,51.60305556,-1.598333333,1,1,1,1,0,,,,
63,51,36,9,1,35,41,51.6025,-1.594722222,1,1,1,0,0,,,,
64,51,36,22,1,34,50,51.60611111,-1.580555556,1,1,1,0,0,,,,
65,51,36,28,1,33,41,51.60777778,-1.561388889,1,1,1,0,0,,,,
66,51,36,32,1,33,2,51.60888889,-1.550555556,1,1,1,0,0,,,,
67,51,36,7,1,32,38,51.60194444,-1.543888889,1,1,1,0,0,,,,
68,51,35,55,1,31,50,51.59861111,-1.530555556,1,1,1,0,0,,,,
69,51,35,48,1,30,10,51.59666667,-1.502777778,1,1,1,0,0,,,,
70,51,35,43,1,29,18,51.59527778,-1.488333333,1,1,1,0,0,,,,
71,51,35,31,1,28,38,51.59194444,-1.477222222,1,1,1,0,0,,,,
72,51,35,34,1,27,46,51.59277778,-1.462777778,1,1,1,0,0,,,,
73,51,35,35,1,26,57,51.59305556,-1.449166667,1,1,1,0,0,,,,
74,51,35,50,1,26,12,51.59722222,-1.436666667,1,1,1,0,0,,,,
Lock46,51,35,55,1,26,2,51.59861111,-1.433888889,1,1,1,1,0,,,,
Lock47,51,36,2,1,25,39,51.60055556,-1.4275,1,1,1,1,0,,,,
75,51,36,6,1,25,22,51.60166667,-1.422777778,1,1,1,0,0,6,18,,Wantage
Lock48,51,36,20,1,24,49,51.60555556,-1.413611111,1,1,1,1,0,,,,
Lock49,51,36,25,1,24,30,51.60694444,-1.408333333,1,1,1,1,0,,,,
Lock50,51,36,27,1,23,57,51.6075,-1.399166667,1,1,1,1,0,,,,
Lock51,51,36,30,1,23,28,51.60833333,-1.391111111,1,1,1,1,0,,,,
76,51,36,22,1,24,40,51.60611111,-1.411111111,1,1,1,0,0,,,,
77,51,36,27,1,23,57,51.6075,-1.399166667,1,1,1,0,0,,,,
78,51,36,42,1,23,14,51.61166667,-1.387222222,1,1,1,0,0,,,,
Lock52,51,37,2,1,23,11,51.61722222,-1.386388889,1,1,1,1,0,,,,
79,51,37,20,1,23,3,51.62222222,-1.384166667,1,1,1,0,0,,,,
Lock53,51,37,30,1,22,50,51.625,-1.380555556,1,1,1,1,0,,,,
80,51,37,37,1,22,35,51.62694444,-1.376388889,1,1,1,0,0,,,,
81,51,38,1,1,21,58,51.63361111,-1.366111111,1,1,1,0,0,,,,
82,51,38,22,1,21,15,51.63944444,-1.354166667,1,1,1,0,0,,,,
83,51,38,33,1,20,32,51.6425,-1.342222222,1,1,1,0,0,,,,
84,51,38,40,1,19,51,51.64444444,-1.330833333,1,1,1,0,0,,,,
85,51,39,9,1,19,17,51.6525,-1.321388889,1,1,1,0,0,,,,
86,51,39,19,1,18,34,51.65527778,-1.309444444,1,1,1,0,0,,,,
Lock54,51,39,20,1,18,22,51.65555556,-1.306111111,1,1,1,1,0,,,,
Lock55,51,39,13,1,17,48,51.65361111,-1.296666667,1,1,1,1,0,,,,
87,51,39,13,1,17,48,51.65361111,-1.296666667,1,1,1,0,0,,,,
88,51,39,3,1,16,56,51.65083333,-1.282222222,1,1,1,0,0,,,,
C-1,51,32,27,1,48,46,51.54083333,-1.812777778,1,1,1,0,0,,,,
C-2,51,32,39,1,48,34,51.54416667,-1.809444444,1,1,1,0,0,,,,
C-3,51,33,8,1,48,13,51.55222222,-1.803611111,1,1,1,0,0,,,,
C-4,51,33,40,1,48,23,51.56111111,-1.806388889,1,1,1,0,0,,,,
C-5,51,34,12,1,48,32,51.57,-1.808888889,1,1,1,0,0,,,,
C-Lock1,51,34,10,1,48,31,51.56944444,-1.808611111,1,1,1,1,0,,,,
C-Lock2,51,34,14,1,48,33,51.57055556,-1.809166667,1,1,1,1,0,,,,
C-6,51,34,30,1,49,1,51.575,-1.816944444,1,1,1,0,0,,,,
C-Lock3,51,34,24,1,48,47,51.57333333,-1.813055556,1,1,1,1,0,,,,
C-7,51,35,3,1,49,35,51.58416667,-1.826388889,1,1,1,0,0,,,,
C-8,51,35,22,1,50,15,51.58944444,-1.8375,1,1,1,0,0,,,,
C-9,51,35,38,1,50,39,51.59388889,-1.844166667,1,1,1,0,0,,,,
C-Lock4,51,35,40,1,50,40,51.59444444,-1.844444444,1,1,1,1,0,,,,
C-10,51,36,16,1,50,50,51.60444444,-1.847222222,1,1,1,0,0,,,,
C-Lock5,51,36,22,1,50,53,51.60611111,-1.848055556,1,1,1,1,0,,,,
C-11,51,36,42,1,51,2,51.61166667,-1.850555556,1,1,1,0,0,,,,
C-Lock6,51,37,1,1,51,9,51.61694444,-1.8525,1,1,1,1,0,,,,
C-12,51,37,8,1,51,12,51.61888889,-1.853333333,1,1,1,0,0,,,,
C-Lock7,51,37,40,1,51,37,51.62777778,-1.860277778,1,1,1,1,0,,,,
C-13,51,37,49,1,51,39,51.63027778,-1.860833333,1,1,1,0,0,,,,
C-14,51,38,12,1,51,19,51.63666667,-1.855277778,1,1,1,0,0,,,,
C-Lock8,51,38,19,1,50,56,51.63861111,-1.848888889,1,1,1,1,0,,,,
C-15,51,38,33,1,50,49,51.6425,-1.846944444,1,1,1,0,0,,,,
